numeric__Tenure,numeric__MonthlyCharges,numeric__TotalCharges,numeric__SeniorCitizen,numeric__AverageMonthlySpending,numeric__TotalChargesPerTenure,numeric__IsLongTermContract,numeric__IsElectronicPayment,ordinal_contract__Contract,categorical__PaymentMethod_Bank Transfer,categorical__PaymentMethod_Credit Card,categorical__PaymentMethod_Electronic Check,categorical__PaperlessBilling_No,categorical__PaperlessBilling_Yes,categorical__MonthlyChargeCategory_High,categorical__MonthlyChargeCategory_Low,categorical__MonthlyChargeCategory_Medium,categorical__TenureGroup_Developing,categorical__TenureGroup_Established,categorical__TenureGroup_Loyal,categorical__TenureGroup_New,Churn
-1.4792267900462313,-0.946552069859722,-1.21097752794336,0.9900495037128095,-0.06704881117959985,-0.06704881117959985,0.7018100265975371,-0.7217427156047488,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0
-0.7493451502207882,-0.00941914218125816,-1.1164056366567146,0.9900495037128095,-0.30311814541781895,-0.30311814541781895,-1.42488702369803,1.385535286160941,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
-0.4573924942906109,-1.5776824089084833,-1.2487174845600966,0.9900495037128095,-0.34344746802986553,-0.34344746802986553,0.7018100265975371,-0.7217427156047488,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0
0.8077356814068237,-1.6159327324871962,1.2798596087612482,0.9900495037128095,-0.23301659603215538,-0.23301659603215538,-1.42488702369803,1.385535286160941,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
-0.9926390301626025,1.367592506652403,-1.4405252640710398,0.9900495037128095,-0.3297505893838952,-0.3297505893838952,0.7018100265975371,1.385535286160941,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.9050532333835495,-1.3290553056468501,1.4521314107294099,-1.0100505037878158,-0.2300875327217222,-0.2300875327217222,0.7018100265975371,1.385535286160941,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
1.440299769255541,-0.2771714072322478,-0.039706874355703005,0.9900495037128095,-0.3306154108351234,-0.3306154108351234,0.7018100265975371,-0.7217427156047488,2.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.1970058893137268,0.2774582846590879,-0.5236663180291474,0.9900495037128095,-0.3478991436798321,-0.3478991436798321,-1.42488702369803,-0.7217427156047488,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
1.3429822172788153,0.2009576375016623,1.645271188709179,0.9900495037128095,-0.2470936657098975,-0.2470936657098975,-1.42488702369803,-0.7217427156047488,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0
-1.0899565821393282,0.12445699034423667,0.6999962753323322,0.9900495037128095,0.152079611253237,0.152079611253237,0.7018100265975371,-0.7217427156047488,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
1.099688337337001,-1.0804282023852168,0.3998526203568749,-1.0100505037878158,-0.2975063789966712,-0.2975063789966712,0.7018100265975371,-0.7217427156047488,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0
